id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R06529	Adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase	Adenosyl cobyrinate hexaamide + D-1-Aminopropan-2-ol O-phosphate + ATP => Adenosyl cobinamide phosphate + ADP + Orthophosphate	C06507 + C04122 + C00002 => C06509 + C00008 + C00009	0	6.3.1.10	OE3253F OE3259F	VNG1578H VNG1582G	Reaction	PMID:14645280
R00425	"GTP 7,8-8,9-dihydrolase (pyrophosphate-forming)"	"GTP + H2O => Formate + 2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine + Pyrophosphate"	C00044 + C00001 => C00058 + C01304 + C00013	0	3.5.4.25			Reaction	
R03759	(R)-1-Aminopropan-2-ol:NAD+ oxidoreductase	Aminoacetone + NADH + H+ <=> (R)-1-Aminopropan-2-ol + NAD+	C01888 + C00004 + C00080 <=> C03194 + C00003	1	1.1.1.75			Reaction	
R00674	L-Serine hydro-lyase (adding indoleglycerol-phosphate)	L-Serine + Indole => L-Tryptophan + H2O	C00065 + C00463 => C00078 + C00001	0	4.2.1.20	OE1470F OE1471F	VNG0307G VNG0308G	Reaction	
R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating)	Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+	C00311 + C00006 <=> C00026 + C00011 + C00005 + C00080	1	1.1.1.42	OE3634F	VNG1873G	Reaction	PMID:4393394 PMID:5058691 PMID:5780095 PMID:5802601 PMID:9827332
R02872	Presqualene diphosphate:farnesyl-diphosphate farnesyltransferase	Presqualene diphosphate + NADPH + H+ => Pyrophosphate + Squalene + NADP+	C03428 + C00005 + C00080 => C00013 + C00751 + C00006	0	2.5.1.21	OE2014F	VNG0680G	Reaction	PMID:2857171
R00835	D-Glucose-6-phosphate:NADP+ 1-oxoreductase	"D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+"	C00092 + C00006 <=> C01236 + C00005 + C00080	1	1.1.1.49			Reaction	PMID:11271421 PMID:5780095 PMID:10650712
R00442	Uridine triphosphate:RNA nucleotidyltransferase (DNA-directed)	CTP => Pyrophosphate + CMP	C00063 => C00013 + C00055	0	2.7.7.6	OE4740R OE4739R OE4741R OE4742R	VNG2664G VNG2662G VNG2665G VNG2666G	Reaction	
R00149	"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)"	ATP + NH3 + CO2 + H2O => ADP + Orthophosphate + Carbamoyl phosphate	C00002 + C00014 + C00011 + C00001 => C00008 + C00009 + C00169	0	6.3.4.16	OE3554F OE3556R	VNG1814G VNG1815G	Reaction	
R90012	ABC-T L-Tyrosine	L-Tyrosine (E) + ATP + H2O => L-Tyrosine + ADP + Orthophosphate + H+	CE00082 + C00002 + C00001 => C00082 + C00008 + C00009 + C00080	0				Membrane Transport	
R90088	ABC-T: (Adenosine-GDP-Cobinamide)	Adenosine-GDP-Cobinamide (E) + ATP + H2O => Adenosine-GDP-cobinamide + ADP + Orthophosphate + H+	CE06510 + C00002 + C00001 => C06510 + C00008 + C00009 + C00080	0				Membrane Transport	
R01465	L-Threonine:NAD+ oxidoreductase	L-Threonine + NAD+ => L-2-Amino-3-oxobutanoate + NADH + H+	C00188 + C00003 => C03508 + C00004 + C00080	0	1.1.1.103	OE4674F	VNG2617G	Reaction	
R00206	"ATP:pyruvate,orthophosphate phosphotransferase"	ATP + Pyruvate + Orthophosphate => AMP + Phosphoenolpyruvate + Pyrophosphate	C00002 + C00022 + C00009 => C00020 + C00074 + C00013	0	2.7.9.1	OE1500R	VNG0330G	Reaction	PMID:2256927 PMID:9827332
R07281		"D-Ribulose 5-phosphate => 3, 4-Dihydroxy-2-butanone 4-phosphate + Formate"	C00199 => C15556 + C00058	0	5.4.99.-	OE3963R	VNG2125G	Reaction	
R90069	Symport: (L-Ornithine:H+)	L-Ornithine (E) + H+ (pmf associated) => L-Ornithine + H+	CE00077 + C90000 => C00077 + C00080	0				Membrane Transport	PMID:6933439
R02329	dTTP:alpha-D-galactose-1-phosphate thymidylyltransferase	dTTP + alpha-D-Galactose 1-phosphate <=> Pyrophosphate + dTDPgalactose	C00459 + C00446 <=> C00013 + C02097	1	2.7.7.32	OE1578F OE1016R OE1078F OE1114F OE2530F OE1014R	VNG0390G VNG0009G VNG0047G VNG0064G VNG1055G VNG0008G	Reaction	
R00220	L-serine ammonia-lyase	L-Serine => Pyruvate + NH3	C00065 => C00022 + C00014	0	4.3.1.17 4.3.1.19	OE3931R	VNG2100G	Reaction	
R05217		Precorrin 3A + Oxygen => Precorrin 3B	C05772 + C00007 => C06406	0	1.14.13.83			Reaction	
R01135	IMP:L-aspartate ligase (GDP-forming)	"GTP + IMP + L-Aspartate => GDP + Orthophosphate + N6-(1,2-Dicarboxyethyl)-AMP"	C00044 + C00130 + C00049 => C00035 + C00009 + C03794	0	6.3.4.4	OE2579F	VNG1089G	Reaction	
R04800	"Neurosporene, hydrogen-donor:oxygen oxidoreductase"	Neurosporene + Oxygen + NADPH => Lycopene + H2O + NADP+	C05431 + C00007 + C00005 => C05432 + C00001 + C00006	0	1.14.99.30 1.14.99.-	OE1426F OE3381R OE3468R	VNG0277G VNG1684G VNG1755G	Reaction	
R00248	L-Glutamate:NADP+ oxidoreductase (deaminating)	L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + NH3 + NADPH + H+	C00025 + C00006 + C00001 <=> C00026 + C00014 + C00005 + C00080	1	1.4.1.3 1.4.1.4	OE2728R OE1943F	VNG1204G VNG0628G	Reaction	PMID:1980084 PMID:3700337 PMID:8157586 PMID:9827332 PMID:12052548
R04208	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	ATP + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine => ADP + Orthophosphate + Aminoimidazole ribotide	C00002 + C04640 => C00008 + C00009 + C03373	0	6.3.3.1	OE2292F	VNG0876G	Reaction	
R00200	ATP:pyruvate O2-phosphotransferase	ADP + Phosphoenolpyruvate => ATP + Pyruvate	C00008 + C00074 => C00002 + C00022	0	2.7.1.40	OE1495R	VNG0324G	Reaction	PMID:3255682
R00177	ATP:L-methione S-adenosyltransferase	ATP + L-Methionine + H2O => Orthophosphate + Pyrophosphate + S-Adenosyl-L-methionine	C00002 + C00073 + C00001 => C00009 + C00013 + C00019	0	2.5.1.6	OE2857F	VNG1297C	Reaction	
R02100	dUTP nucleotidohydrolase	dUTP + H2O => dUMP + Pyrophosphate	C00460 + C00001 => C00365 + C00013	0	3.6.1.23	OE4610R	VNG2570G	Reaction	
R04233	(R)-4'-Phosphopantothenate:L-cysteine ligase	CTP + D-4'-Phosphopantothenate + L-Cysteine => CDP + Orthophosphate + (R)-4'-Phosphopantothenoyl-L-cysteine	C00063 + C03492 + C00097 => C00112 + C00009 + C04352	0	6.3.2.5	OE1856R	VNG0572G	Reaction	
R90119	ABC-T: (Zinc)	Zinc (E) + ATP + H2O => Zinc + ADP + Orthophosphate + H+	CE00038 + C00002 + C00001 => C00038 + C00008 + C00009 + C00080	0		OE5146R OE5147R	VNG6264G VNG6265G	Membrane Transport	
R90112	Efflux: (Cadmium)	Cadmium => Cadmium (E)	C01413 => CE01413	0		OE3619R	VNG1862G	Membrane Transport	
R05611		all-trans-Heptaprenyl diphosphate + Isopentenyl diphosphate <=> all-trans-Octaprenyl diphosphate + Pyrophosphate	C04216 + C00129 <=> C04146 + C00013	1	2.5.1.11 2.5.1.-	OE2559R OE2650F OE3503F OE3505R OE4010F	VNG1075G VNG1150G VNG1779C VNG1781C VNG2153G	Reaction	PMID:2857171
R00316	Acetate:CoA ligase (AMP-forming)	ATP + Acetate => Pyrophosphate + Acetyl adenylate	C00002 + C00033 => C00013 + C05993	0	6.2.1.1	OE2450F OE1726F	VNG0997G VNG0484G	Reaction	
R01231	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)	ATP + Xanthosine 5'-phosphate + L-Glutamine + H2O => AMP + Pyrophosphate + GMP + L-Glutamate	C00002 + C00655 + C00064 + C00001 => C00020 + C00013 + C00144 + C00025	0	6.3.5.2	OE1363F OE3571R	VNG0228G VNG1829G	Reaction	
R90033	Symport: (L-Methionine:H+)	L-Methionine (E) + H+ (pmf associated) => L-Methionine + H+	CE00073 + C90000 => C00073 + C00080	0				Membrane Transport	PMID:889797
R03084	3-Dehydroquinate hydro-lyase	3-Dehydroquinate <=> 3-Dehydroshikimate + H2O	C00944 <=> C02637 + C00001	1	4.2.1.10 4.2.1.11	OE1477R OE2640F	VNG0314G VNG1142G	Reaction	PMID:3700337
R01977	(R)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	Acetoacetyl-CoA + NADPH <=> (R)-3-Hydroxybutanoyl-CoA + NADP+	C00332 + C00005 <=> C03561 + C00006	1	1.1.1.36	OE4695F	VNG2632G	Reaction	
R90092	MJ1249 homolog reaction	"Compound I + NAD+ => 2-amino-3,7-dideoxy-hept-6-ulsonic acid + NADH + NH3"	R90007 + C00003 => C90003 + C00004 + C00014	0		OE1475F	VNG0310C	Reaction	PMID:15182204
R03869	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase	(S)-Methylmalonate semialdehyde + NAD+ + H2O => Methylmalonate + NADH	C06002 + C00003 + C00001 => C02170 + C00004	0	1.2.1.3	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	
R02765	(R)-2-Methyl-3-oxopropanoyl-CoA 2-epimerase	(R)-2-Methyl-3-oxopropanoyl-CoA <=> (S)-2-Methyl-3-oxopropanoyl-CoA	C01213 <=> C00683	1	5.1.99.1	OE1718R	VNG0478C	Reaction	
R00150	ATP:carbamate phosphotransferase	ADP + Carbamoyl phosphate => ATP + NH3 + CO2	C00008 + C00169 => C00002 + C00014 + C00011	0	2.7.2.2	OE5206R	VNG6316G	Reaction	PMID:7868583 PMID:8759859
R01731	L-Aspartate:2-oxoglutarate aminotransferase	L-Aspartate + Prephenate <=> Oxaloacetate + L-Arogenate	C00049 + C00254 <=> C00036 + C00826	1	2.6.1.57			Reaction	
